time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.006565,0.723973,-2.517892,-9.656010
0.017710,0.612189,-2.504125,-9.653766
0.027254,0.509534,-2.431249,-9.567721
0.037278,0.513874,-2.384560,-9.466862
0.047250,0.512677,-2.497690,-9.499933
0.057434,0.470477,-2.563833,-9.436933
0.067227,0.527641,-2.618901,-9.401168
0.077205,0.559216,-2.675616,-9.366601
0.087231,0.576125,-2.695219,-9.288038
0.097551,0.640472,-2.809397,-9.322756
0.107366,0.683120,-2.855038,-9.392788
0.117301,0.749113,-2.738466,-9.389197
0.127313,0.692697,-2.667984,-9.413888
0.137231,0.663666,-2.688036,-9.450850
0.147282,0.663966,-2.628927,-9.462971
0.157232,0.662918,-2.587027,-9.478384
0.167415,0.651246,-2.486318,-9.504871
0.177290,0.608748,-2.424216,-9.570415
0.187241,0.578819,-2.327846,-9.600194
0.197582,0.668156,-2.264996,-9.644787
0.207582,0.658130,-2.315126,-9.648079
0.217567,0.647206,-2.366304,-9.553355
0.227466,0.590491,-2.390097,-9.420023
0.237371,0.555325,-2.459232,-9.298513
0.247290,0.670400,-2.439030,-9.250478
0.257369,0.780089,-2.497391,-9.360466
0.267433,0.899653,-2.591517,-9.381865
0.277355,1.063063,-2.557248,-9.375430
0.287426,1.125315,-2.628329,-9.289236
0.297143,1.108405,-2.799221,-9.174160
0.307380,1.094638,-2.849501,-8.869337
0.317334,1.084911,-2.979241,-8.892981
0.327282,1.417119,-2.919684,-9.184785
0.337522,1.744089,-2.873743,-9.631020
0.347333,1.871285,-2.834237,-9.972206
0.357536,1.856919,-2.828252,-9.867157
0.367324,1.692911,-2.805506,-9.538241
0.377168,1.367138,-2.809546,-9.178649
0.387382,1.047501,-3.038799,-8.508099
0.397437,0.677733,-3.497455,-7.643163
0.407627,0.413314,-3.846722,-7.002242
0.417512,0.920154,-3.353349,-6.825664
0.427433,2.658257,-2.276069,-8.403948
0.437279,4.007438,-1.926952,-10.582151
0.447187,4.938217,-1.935632,-11.935521
0.457432,5.041321,-2.102932,-11.916517
0.467461,4.518319,-2.465667,-10.982446
0.477567,3.702017,-2.989118,-9.594208
0.487427,2.778720,-3.616271,-8.025950
0.497480,1.701590,-4.213197,-6.698916
0.516062,0.519860,-4.343387,-4.564858
0.527175,1.418465,-3.513467,-4.386334
0.537465,2.972956,-2.524925,-4.593889
0.547438,4.978022,-2.009705,-5.010495
0.557346,6.556755,-2.173414,-5.728781
0.567592,7.344625,-2.804458,-6.662703
0.585129,8.130550,-3.430864,-5.786992
0.597424,8.357110,-3.347363,-4.638033
0.607293,8.787333,-3.406771,-3.931569
0.617430,9.040230,-3.983495,-3.158663
0.627421,9.482874,-4.286073,-2.150818
0.637220,10.187692,-4.074777,-1.208516
0.655759,10.962543,-3.989182,-1.013232
0.667522,11.054873,-4.330966,-1.513638
0.677403,11.312707,-5.043117,-1.686925
0.687367,10.774741,-5.570908,-1.115887
0.697227,10.021139,-5.439371,0.025140
0.707490,8.786136,-5.510602,1.434627
0.724904,6.919191,-5.375624,3.719375
0.737334,6.065178,-4.467291,5.399417
0.747255,5.648123,-3.073367,6.985333
0.757309,5.121979,-2.387853,7.715740
0.767297,4.864593,-1.857368,7.741778
0.777265,4.904099,-1.476677,7.366922
0.786978,5.610264,-1.468596,6.879834
0.797793,6.529221,-2.119393,6.580698
0.807815,7.070031,-3.356940,6.616313
0.817158,7.019002,-4.310166,7.287612
0.827642,6.617959,-4.538671,8.415470
0.837502,5.764246,-3.875004,9.117894
0.847584,4.753558,-2.955299,9.633564
0.856699,3.735088,-1.866048,9.589719
0.867665,2.670378,-0.794005,9.070458
0.877374,1.902560,-0.122707,8.624073
0.887282,1.723139,0.617128,8.203426
0.897372,2.167728,1.431784,8.034330
0.907586,2.558146,1.516332,7.931824
0.917546,3.069925,0.889478,7.961154
0.926663,3.249347,-0.043546,8.345288
0.937250,3.136067,-0.929732,8.930990
0.947263,2.853990,-1.344692,9.586277
0.957570,2.083329,-1.329129,9.982382
0.967730,1.219291,-0.773804,10.373848
0.977347,0.581363,0.021698,10.730896
0.987403,0.293899,0.753303,11.087794
0.996885,0.476912,1.038522,10.599509
1.007151,0.913121,1.004403,9.994952
1.016920,1.556885,0.848625,9.897983
1.027615,2.033199,0.378896,9.818672
1.037721,2.349843,-0.146052,9.587773
1.047353,2.534353,-0.512377,9.972356
1.057334,2.375582,-0.581662,10.459892
1.067638,1.670165,-0.235987,10.657571
1.077385,0.845632,0.155629,16.363905
1.087302,0.309162,-0.088589,10.041191
1.097161,0.656334,1.081021,10.770401
1.107704,0.957865,1.525759,10.169136
1.117543,0.574330,1.330625,10.529027
1.127214,0.532130,1.016375,10.069923
1.147223,0.668605,0.182564,10.025180
